,0
549,Michael Stillman
550,Mike Nudelman
551,Brian Roberts
552,Hans Zimmer
553,George Palikaras
554,Kevin Birzer
555,Pony Ma
556,Sarnia
557,Jon Pack
558,Guy Faure
559,Steve Ketchum
560,Justin Levin
561,Doug Carswell
562,Sascha Owen
563,Neil Armstrong
564,William Delgado
565,Jim Waterson
566,Yan Changzai
567,Ben Thompson
568,Torsten Mueller
569,Neil Smit
570,Reinhard Ploss
571,David Karp
572,Kevin Plank
573,Paul Raines
574,Hiroshi Tanaka
575,Mary Mack
576,Philippe Dauman
577,Muhammad Abu
578,Jack Nicklaus
579,Dan Porter
580,Charles Li
581,Mario Gabelli
582,George Mason
583,Brian Ruttenbur
584,Thomas Hughes
585,Frank Holmes
586,Jeff Sommer
587,Noel Biderman
588,Bob Tisch
589,Meredith Willson
590,Mark Lapidus
591,Garland
592,Procera Networks
593,Mark Parker
594,Michael Sabat
595,Joe Kennedy
596,Philippe Espinasse
597,Norilsk Nickel
598,Mike Needham
599,Stephen Schwarzman
600,Carlos Menem
601,John James
602,Chartered Accountancy
603,Jeff Ball
604,Ken Lewis
605,Carlos Partcha
606,David Sekera
607,William Danoff
608,Nigel Travis
609,Stephen Hall
610,Michael Vick
611,Bay Bridge
612,Paul Bresson
613,Dennis Junius
614,Jessica Lynn Wright
615,Fred Ehrsam
616,Brian Krzanich
617,Larry Moczygemba
618,Katherine Snyder
619,Antony Jenkins
620,Huarong
621,John Paulson
622,Matt Maloney
623,Paul Deneve
624,Charlie Brown
625,Keith Singer
626,Steve Nash
627,Bill Winterberg
628,Biderman
629,Carlos Rodriguez
630,Barry Bateman
631,Steve Ross
632,Charles Kaye
633,Steve Davis
634,Richard Blumenthal
635,Mike Vick
636,Leslie Moonves
637,Bryan Mistele
638,Rob Ferguson
639,Jason Kessler
640,Doug Hock
641,William Keegan
642,Peter Kent
643,Leigh Drogen
644,Bill Bernstein
645,Jeh Johnson
646,Breton
647,Scott Farquhar
648,Chetan Dube
649,David Lazer
650,Scott Schropp
651,Toby Dayton
652,Mark Hall
653,Peter Bofinger
654,Scott Evans
655,Los Alamos
656,Tim Weiner
657,Ken Schultz
658,Rich Ross
659,David Einhorn
660,John Zimmer
661,Jenn Goldson
662,Murdoch
663,Howard Buffett
664,Greg Foran
665,Bobby Murphy
666,Corbat
667,John Gardi
668,Leigh DrogenNYC
669,Schoff
670,John Dearie
671,Wamhoff
672,Martine Aubry
673,Charles Ergen
674,Lauren Cohen
675,Steve Schwarzman
676,Khalid Bomba
677,Allaince Bernstein
678,Antonio Mazzitelli
679,Steve Mollenkopf
680,Akio Watanabe
681,Civilian Population
682,Allan Mayer
683,Jonathan Strong
684,Mark Thompson
685,Anders Elgemyr
686,Jim Porter
687,Jon Bennett
688,Edward Snyder
689,Scott Schuberg
690,Nick Mason
691,John Bryson
692,Richard LeFrak
693,Rick Needham
694,Gabelli
695,David Marcus
696,Philip Balboni
697,Luiz Reis
698,Polysilicon
699,John Lepore
700,David Boren
701,David Hopkinson
702,Neil Brown
703,Jordan Robertson
704,Paul Otellini
705,John Delaney
706,Nathan Hubbard
707,Ello
708,Joachim Schmidt
709,Dan Doctoroff
710,Andreyev
711,Hank Paulson
712,Nearby Cyprus
713,William Easton
714,Adam Dell
715,Jeremy Travis
716,Sam Hurd
717,John Melloy
718,Tom Horton
719,Lorenzo Grabau
720,Genaro Garcia
721,William Domhoff
722,Sergio Romero
723,David Clark
724,Jim Brown
725,Vadim Padalko
726,Martin Craighead
727,Victor Luis
728,Jeffrey Corzine
729,Howard Lutnick
730,Wong
731,Raiffeisen Bank
732,Angela Chen
733,Brian Dunn
734,Mayer
735,Vitor Bento
736,Devo
737,Mark Bavin
738,Don Thompson
739,Alliance Bernstein
740,Tim Sold
741,Carson
742,Norton Utilities
743,Liz Sly
744,Zuckerman
745,Ben Nelson
746,Jeffrey Ettinger
747,Tim Cook
748,Jeff Seeney
749,Michael Piwowar
750,Scott Sandell
751,Tim Cahill
752,David Thodey
753,Mark Mulligan
754,John Robertson
755,Jeremy Stoppelman
756,Jessica Cohen
757,Ken Adams
758,Mike
759,Hubert Joly
760,Joe Kaeser
761,Reimar Pinkernell
762,Niraj Shah
763,Don Graunstadt
764,Josh Vlasto
765,Martin Blessing
766,David Smith
767,David Calhoun
768,Steve Ells
769,Rosalind Brewer
770,Jörn Kleinhans
771,Joe Tucci
772,John Lanchester
773,Joshua Birnbaum
774,Michael Keith
775,Dan Shipper
776,Philip Guziec
777,Mark Armstrong
778,Brent Stiefel
779,Jessica Rodriguez
780,Charlie Smith
781,Joseph Jimenez
782,Julian Geiger
783,David Levy
784,Russ Roberts
785,Charisse Arboleda
786,Mark Cohen
787,Larry Hagman
788,Steve Worthington
789,David Maus
790,Owen Kerr
791,Burda
792,Scott Simon
793,Michael Yang
794,Richard Downey
795,Frank McKenna
796,Mark Papa
797,Martin Fridson
798,John Robinson
799,Eddie Evans
800,Jack Koraleski
801,Ted Mirvis
802,Lazard Ltd.
803,Donald Harrison
804,Mac Robertson
805,Willson
806,Alison Thompson
807,Christian Laub
808,Craig Leavitt
809,David Johnson
810,Julian Robertson
811,Pratik Shah
812,Ken Lerer
813,Stephen Sadove
814,John Liew
815,Patrick Pouyanne
816,Liz Ann Sonders
817,Keith Wright
818,Michael Diekmann
819,Jonathan Tepper
820,Eric Major
821,Jason Goldberg
822,Steve Fossett
823,Mike Sneesby
824,Dan Frommer
825,Charles Hoskinson
826,Brian Stoffel
827,Jon Erlichman
828,Niall Wass
829,Bob Patrick
830,Jim Roberts
831,Chris Nasetta
832,John Corr
833,Anshu Jain
834,William Hernandez
835,Leo Fibonacci
836,Martin Schmidt
837,Jan Smith
838,Jon Corrine
839,James Parrott
840,David Bouckhout
841,Eike Batista
842,Steve Brazier
843,Mulvaney
844,Dave Grant
845,Zuckerberg
846,Michael Rawson
847,Ron Bernstein
848,Mark Rachesky
849,David Evans
850,Daniel S. Loeb
851,John Chen
852,Martha Josephson
853,Elizabeth Holmes
854,William Schultz
855,William Thompson
856,Kazuhiro Tsuga
857,Marc Bolland
858,Ophir Gottlieb
859,Tradesports
860,Mark Drajem
861,Jeffrey Snider
862,Thomas Thompson
863,David Armstrong
864,Michael Graham
865,Bob Iger
866,Bill Maher
867,Laura Legere
868,Priscilla Vazquez
869,Pamela Liebman
870,Aamer Sarfraz
871,David Fink
872,Mark Patterson
873,Tim Smith
874,Darren Huston
875,Jeremy Page
876,Andrew Brown
877,Joe Mansueto
878,Richard Plepler
879,Mark Zauderer
880,Benioff
881,Alan Glickstein
882,Steve Siebold
883,Britton
884,George Harrison
885,Russ Girling
886,Eric Rosengren
887,Jeff Immelt
888,Ani Mason
889,Dan Serrao
890,Michael Steinhardt
891,Cyprus Cyprus
892,Igor Shuvalov
893,David Rohde
894,Frances Lun
895,Bill Evans
896,Mark Teixeira
897,John Smith
898,James Halstead
899,Jonathan Levin
900,John Kolesidis
901,Marion
902,Tim Horton
903,Mary Callahan Erdoes
904,Maglite
905,Brent Cook
906,Skiddy von Stade
907,Ken Lin
908,Tim Zagat
909,Cooper Smith
910,Igor Bilous
911,Bill Thompson
912,Dan Moisand
913,Sandy Chen
914,Paul Hayes
915,Kyle Vucko
916,Fred Read
917,George Downing
918,Marcus Lemonis
919,Plexi
920,Michael Widmer
921,Mark Giannantonio
922,Nicola Zagaria
923,Alex Rodriguez
924,Jeff Weiner
925,Brian Singer
926,Divya Narendra
927,Has Died
928,Toby Keith
929,Tim Wright
930,Ted Leonsis
931,Kevin Lee
932,Revised Way
933,Michael Kramer
934,George Mitchell
935,Ken Dulaney
936,Kara Stein
937,Khaled El
938,Mark Iwry
939,Julian Bartlett
940,Makoto Yagi
941,Sayuri Shirai
942,Deborah Weinswig
943,Bernard Baumohl
944,Spirits Exporters
945,Jack Kaufman
946,Mikhail Yampolsky
947,Kapur
948,Peter Bernstein
949,Mark Vorsatz
950,Kimiko Hirata
951,Josh Benson
952,Gerald Gross
953,Jeff Henley
954,Carlos Costa
955,John Goodman
956,Carlos Ghosn
957,Anton Levy
958,Revised Broker
959,Douglas Hodge
960,Mark Murray
961,Peter Jacobs
962,Doug Yearly
963,Neil Simon
964,Jeremy Stein
965,Johan Castberg
966,Paul Rinaldi
967,Joel Horowitz
968,Wayne Fourman
969,Michael Patterson
970,Scott Gamm
971,Amy Elliott
972,Husam
973,Fishman
974,Roberto Troyan
975,Joe Johnson
976,JK Shin
977,Bronner
978,Roger Ferguson
979,Allen Questrom
980,Style Girlfriend
981,Wilbur Ross
982,Debra Berman
983,David Stockton
984,Bill Hester
985,David Zier
986,Typhoon Fitow
987,Paula Schneider
988,Robert Thompson
989,Harold Block
990,Leafly
991,Gerald Hassel
992,Josh Noble
993,Aleksey Miller
994,Peter Cramton
995,Charles Rotblutt
996,Ray Dalio
997,Andrew Yorks
998,Shannon Stemm
999,Gerry Connolly
1000,Michael McPherson
1001,Jan Hatzius
1002,Scott Redler
1003,Joe Fernandez
1004,Scot Schmidt
1005,Brian MacDonald
1006,Sam Zell
1007,Emilio Lozoya
1008,Edelman
1009,Michael Brooks
1010,Daniel Twining
1011,Mike Jeffries
1012,Dubilet
1013,Thomas Bass
1014,Eric Nakagawa
1015,Ron Swanson
1016,John Helmer
1017,Marianne Lake
1018,Quark Coin
1019,Elaine Greenberg
1020,Toby Bateman
1021,Schwartz
1022,David Novak
1023,Patrick Byrne
1024,Bresson
1025,J.P.âJohn Paulson
1026,Andy Marsh
1027,Jurgen Fitschen
1028,Warwickshire
1029,Francesca Landini
1030,Wyatt Earp
1031,William Zheng
1032,Ron Burkle
1033,Bill French
1034,Jiang Peiru
1035,Charles Forman
1036,Lola Cohen
1037,Nick Witney
1038,John Coker
1039,Sam Houston
1040,Fritz Henderson
1041,Jim Meehan
1042,Anthony Scaramucci
1043,Tony Baltimore
1044,Thomas Johnson
1045,Dennis Crowley
1046,Steven Jacobs
1047,Mark Grant
1048,Wipro Limited
1049,Charles Grom
1050,Frouzis Konstantinos
1051,John Roos
1052,Scott Sumner
1053,Karen Barr
1054,Hiroshi Watanabe
1055,Robert Greifeld
1056,Enrico Cavatorta
1057,Paul Parker
1058,Mark McKechnie
1059,Thomas Mayer
1060,Alan Graf
1061,Marcus Stromberg
1062,John Burger
1063,Richard Schicikel
1064,Bill Chaaban
1065,John McDonald
1066,Jared Woodard
1067,Bob McDonald
1068,Och
1069,Michael Chertoff
1070,Michael Kaplan
1071,Chuck Hegel
1072,Jules Melancon
1073,Michael O'Leary
1074,Marc Probst
1075,Tile Shop
1076,William Simon
1077,Larry Jeddeloh
1078,Michael Wong
1079,Dave Bieneman
1080,Ron Vinder
1081,William Welch
1082,Richard Dugas
1083,Bob MacDonald
1084,Spyros Trachanis
1085,David Spegel
1086,Yanai
1087,Cam Marston
1088,Kirk Kristiansen
1089,Theron Amos
1090,Christian Dzieia
1091,Philip Palaveev
1092,Alan Richman
1093,Mikhelson
1094,Dirk Ziff
1095,Kyle Baker
1096,Dan Mahoney
1097,Tibergien
1098,John Idol
1099,Joshua Davis
