,0
860,1.58%
861,1%
862,2%
863,10%
864,2%
865,22.7%
866,49%
867,35%
868,50%
869,9%
870,4.5%
871,+60%
872,2.5%
873,1.8%
874,2%
875,1%
876,1%
877,34.2%
878,2%
879,1.1%
880,3%
881,3.4%
882,2%
883,3%
884,75%
885,13.9%
886,16.6%
887,19.8%
888,42%
889,10-15%
890,28%
891,75%
892,10%
893,20%
894,16%
895,25%
896,14%
897,3.31%
898,32.6%
899,50%
900,78%
901,69%
902,57%
903,35%
904,34%
905,3%
906,53%
907,2.0%
908,8.24%
909,6%
910,1%
911,25%
912,100%
913,8.24%
914,2%
915,35%
916,1.5%
917,30%
918,30%
919,26%
920,20%
921,20%
922,1.0%
923,1.4%
924,1.0%
925,1.1%
926,13.4%
927,22.0%
928,9.7%
929,2.6%
930,14.7%
931,13.4%
932,12.3%
933,4.6%
934,8%
935,68%
936,8.7%
937,18%
938,8%
939,9%
940,2%
941,9%
942,47%
943,4%
944,1%
945,2%
946,31%
947,8%
948,72%
949,5%
950,11%
951,3.9%
952,4.7%
953,28%
954,17%
955,17%
956,1.9%
957,1%
958,3%
959,3%
960,14.1%
961,12.7%
962,8.7%
963,8%
964,7.4%
965,6%
966,1%
967,7.5%
968,7.8%
969,80%
970,100%
971,4.5%
972,4.3%
973,5%
974,90%
975,70%
976,6.1%
977,4.4%
978,.10%
979,15%
980,18.4%
981,25.6%
982,47%
983,30%
984,47%
985,30%
986,2.86%
987,7.9%
988,7.8%
989,7.8%
990,100%
991,4%
992,4%
993,2.8%
994,3.2%
995,7.7%
996,4%
997,2.5%
998,15%
999,12%
1000,2.2%
1001,3.6%
1002,0.5%
1003,1.5%
1004,4.5%
1005,1%
1006,1.5%
1007,-0.1%
1008,+0.3%
1009,+0.2%
1010,+1.0%
1011,0.3%
1012,2.8%
1013,1.4%
1014,7.9%
1015,2.8%
1016,1.12%
1017,2%
1018,5.3%
1019,+%
1020,7.8%
1021,5.5%
1022,35%
1023,61%
1024,55%
1025,57%
1026,52%
1027,20%
1028,5%
1029,12%
1030,13%
1031,54%
1032,59%
1033,30%
1034,35%
1035,12%
1036,-13%
1037,100%
1038,11.9%
1039,5.6%
1040,5.3%
1041,4.1%
1042,130%
1043,30%
1044,91%
1045,1%
1046,2.25%
1047,2%
1048,2.2%
1049,2.75%
1050,3%
1051,0.3%
1052,1.5%
1053,6.5%
1054,2.5%
1055,1%
1056,2.0%
1057,3%
1058,%
1059,%
1060,+1.5%
1061,+4.5%
1062,+2.0%
1063,+2.5%
1064,1%
1065,6%
1066,4.46%
1067,2%
1068,1.47%
1069,3.4%
1070,2.75%
1071,20%
1072,10.5%
1073,4.5%
1074,2%
1075,2.0%
1076,20.6%
1077,70%
1078,35%
1079,20%
1080,25-250%
1081,30%
1082,150%
1083,72%
1084,61%
1085,.1%
1086,77%
1087,40%
1088,35%
1089,11-12%
1090,-3.45%
1091,-8.67%
1092,-15.33%
1093,10%
1094,-3.45%
1095,1.3%
1096,3%
1097,15.0%
1098,18.3%
1099,28.9%
1100,2.0%
1101,1.0%
1102,1.5%
1103,35%
1104,1%
1105,7.5%
1106,7.75%
1107,2.75%
1108,4.75%
1109,1%
1110,7.7%
1111,75%
1112,74.4%
1113,78.5%
1114,2.9%
1115,6%
1116,12.7%
1117,15.9%
1118,7.2%
1119,11%
1120,2%
1121,15.9%
1122,24%
1123,97%
1124,13%
1125,72%
1126,83%
1127,26%
1128,1%
1129,1%
1130,13%
1131,24%
1132,-25%
1133,13%
1134,24%
1135,41.5%
1136,1%
1137,17%
1138,14%
1139,9%
1140,4%
1141,4%
1142,2%
1143,50%
1144,13%
1145,6%
1146,10%
1147,6%
1148,24%
